player_id,first_name,last_name,age,email,country,gender,games,weekly_hours
3,Chelsy,Portsmouth,41,cportsmouth2@dropbox.com,Indonesia,Female,Grand Theft Auto V,78.23
5,Charita,Tzar,38,ctzar4@infoseek.co.jp,Mexico,Female,FIFA 20,1.37
6,Matilde,Grisewood,22,mgrisewood5@census.gov,Armenia,Female,Red Dead Redemption 2,49.68
9,Gerard,Saldler,33,gsaldler8@huffingtonpost.com,France,Male,The Legend of Zelda: Breath of the Wild,119.79
10,Barnaby,Bastide,39,bbastide9@nsw.gov.au,Indonesia,Male,Overwatch,136.77
13,Darby,Canizares,38,dcanizaresc@discovery.com,Poland,Male,Assassin's Creed Odyssey,140.74
21,Marna,Scrimshaw,43,mscrimshawk@163.com,Portugal,Female,Overwatch,29.49
26,Kalinda,Storey,25,kstoreyp@aol.com,China,Female,Red Dead Redemption 2,154.39
27,Pearle,Dei,22,pdeiq@blogspot.com,Malaysia,Female,Fortnite,157.66
30,Liesa,Kilcoyne,43,lkilcoynet@unc.edu,China,Female,FIFA 20,70.49
31,Thaine,Ricardin,27,tricardinu@freewebs.com,Madagascar,Male,Assassin's Creed Odyssey,111.91
32,Tamma,Finney,26,tfinneyv@gnu.org,Indonesia,Female,Minecraft,86.34
36,Alie,Lawdham,26,alawdhamz@google.co.jp,Portugal,Female,Super Mario Odyssey,124.11
37,Alvira,Sogg,27,asogg10@state.tx.us,China,Female,Super Mario Odyssey,108.06
40,Augie,Baal,44,abaal13@ifeng.com,Czech Republic,Male,Super Mario Odyssey,145.49
42,Neila,Takos,22,ntakos15@google.com.hk,Brazil,Female,Call of Duty: Modern Warfare,115.29
47,Hart,Dory,38,hdory1a@twitpic.com,Philippines,Male,FIFA 20,24.06
49,Isaac,Silcox,41,isilcox1c@cyberchimps.com,Ukraine,Male,The Legend of Zelda: Breath of the Wild,49.55
51,Sidonnie,Choudhury,42,schoudhury1e@wikia.com,Russia,Female,Overwatch,8.31
53,Wilden,Dubois,25,wdubois1g@mozilla.com,Thailand,Male,Call of Duty: Modern Warfare,91.55
54,Lorelle,Wixey,32,lwixey1h@chronoengine.com,France,Female,FIFA 20,141.75
55,Linzy,McLean,20,lmclean1i@about.me,Denmark,Female,Call of Duty: Modern Warfare,70.37
56,Leisha,Northey,35,lnorthey1j@wordpress.com,Croatia,Female,Minecraft,155.23
59,Mattias,McGonagle,19,mmcgonagle1m@scribd.com,China,Male,Overwatch,124.99
61,Dodie,Tuttle,28,dtuttle1o@chicagotribune.com,Colombia,Female,Minecraft,105.31
62,Ripley,Maha,28,rmaha1p@rakuten.co.jp,Argentina,Male,The Legend of Zelda: Breath of the Wild,133.43
65,Jilly,Grelka,27,jgrelka1s@barnesandnoble.com,Greece,Female,Super Mario Odyssey,13.67
69,Neilla,Sarah,35,nsarah1w@squidoo.com,Philippines,Female,Grand Theft Auto V,110.21
72,Carmencita,Quarles,22,cquarles1z@webeden.co.uk,Peru,Female,Minecraft,92.5
74,Nady,Halwill,21,nhalwill21@nbcnews.com,Norway,Female,Minecraft,20.02
77,Maje,Blaes,34,mblaes24@artisteer.com,Poland,Male,Assassin's Creed Odyssey,52.67
78,Annetta,Shinner,32,ashinner25@spotify.com,Indonesia,Female,Minecraft,109.68
80,Chastity,Haukey,19,chaukey27@cbsnews.com,Russia,Female,Minecraft,63.64
83,Patti,Gandrich,41,pgandrich2a@bloglines.com,South Korea,Female,Minecraft,46.31
90,Brad,Siderfin,29,bsiderfin2h@over-blog.com,Indonesia,Male,Call of Duty: Modern Warfare,130.14
92,Herman,Beggs,18,hbeggs2j@berkeley.edu,Ukraine,Male,Call of Duty: Modern Warfare,14.56
96,Briggs,Gillimgham,43,bgillimgham2n@seattletimes.com,Cuba,Male,Call of Duty: Modern Warfare,159.7
104,Wald,Solomonides,21,wsolomonides2v@dedecms.com,Lesotho,Male,Assassin's Creed Odyssey,104.62
106,Trixi,Bernardo,37,tbernardo2x@alibaba.com,Philippines,Female,The Legend of Zelda: Breath of the Wild,83.95
107,Doy,Cottu,18,dcottu2y@google.co.uk,Russia,Male,Grand Theft Auto V,19.64
109,Kristen,Pieper,18,kpieper30@mapy.cz,China,Female,Super Mario Odyssey,141.5
114,Ignaz,Shorto,41,ishorto35@cocolog-nifty.com,Indonesia,Male,FIFA 20,75.74
115,Corinna,Chaff,41,cchaff36@merriam-webster.com,Pakistan,Female,Overwatch,42.9
117,Cointon,Farney,20,cfarney38@jigsy.com,Guatemala,Male,Assassin's Creed Odyssey,54.11
118,Germana,Hasney,18,ghasney39@sohu.com,Philippines,Female,FIFA 20,159.98
119,Vassily,Tomsa,28,vtomsa3a@economist.com,China,Male,FIFA 20,122.21
